                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92243,                 1.1114,                 1.2451,                0.80192,                0.72498,                0.81035,                0.59898,                0.93394,                0.85891,                 1.1926,                0.00307,                0.00307,                0.00307
                     37,                0.91824,                 1.1026,                 1.2399,                 0.8059,                 0.7245,                 0.8109,                0.59895,                0.92956,                0.86133,                 1.1892,               0.002872,               0.002872,               0.002872
                     38,                0.91383,                 1.0919,                 1.2372,                0.80534,                0.73431,                0.81542,                0.60219,                0.92876,                0.85392,                 1.1884,               0.002674,               0.002674,               0.002674
                     39,                0.90724,                 1.0807,                 1.2339,                0.81138,                0.73022,                0.81735,                0.60423,                0.92624,                0.84844,                 1.1881,               0.002476,               0.002476,               0.002476
                     40,                0.89522,                 1.0561,                 1.2229,                0.80616,                0.73381,                0.81946,                0.60684,                0.92464,                 0.8448,                 1.1866,               0.002278,               0.002278,               0.002278
                     41,                0.86748,                 0.9086,                 1.2134,                0.79684,                0.74012,                0.81671,                 0.6058,                0.92372,                0.84142,                  1.187,                0.00208,                0.00208,                0.00208
                     42,                0.84721,                0.86787,                 1.1976,                0.78964,                0.75018,                0.82006,                0.60968,                0.92112,                0.83353,                 1.1846,               0.001882,               0.001882,               0.001882
                     43,                0.83896,                0.84763,                 1.1867,                0.80871,                0.73805,                0.82035,                0.60923,                0.91992,                0.82824,                 1.1836,               0.001684,               0.001684,               0.001684
                     44,                0.82657,                 0.8256,                 1.1787,                0.80122,                0.74031,                0.82094,                0.61103,                0.91874,                0.82554,                  1.183,               0.001486,               0.001486,               0.001486
                     45,                0.82251,                0.81496,                 1.1742,                0.80063,                0.73667,                0.82099,                0.61056,                0.91673,                0.82293,                 1.1804,               0.001288,               0.001288,               0.001288
                     46,                 0.8111,                0.79606,                 1.1669,                0.80358,                0.73812,                0.82157,                0.61186,                0.91634,                0.82028,                 1.1804,                0.00109,                0.00109,                0.00109
                     47,                0.80024,                0.78172,                 1.1618,                0.79634,                0.74359,                0.82093,                0.61147,                0.91607,                0.81964,                 1.1806,               0.000892,               0.000892,               0.000892
                     48,                0.79261,                0.76496,                 1.1552,                0.81808,                0.72728,                0.82041,                 0.6121,                0.91554,                0.81867,                 1.1806,               0.000694,               0.000694,               0.000694
                     49,                0.78681,                 0.7552,                 1.1491,                 0.8125,                0.72968,                0.81999,                0.61283,                 0.9152,                0.81826,                 1.1801,               0.000496,               0.000496,               0.000496
                     50,                0.78203,                0.74116,                  1.144,                0.80775,                0.73495,                0.82065,                0.61308,                0.91531,                0.81692,                 1.1798,               0.000298,               0.000298,               0.000298
